Question,Correct answer,,Chat GPT 4o,Chat GPT 4,Gemini Advance,,Exam set and course,Table,Figur,,General promt
21,D,,C,B,C,,Spring 2024 ML,,,,
22,C,,B,C,B,,Spring 2024 ML,,,,
23,A,,A,D,C,,Spring 2024 ML,,,,
24,B,,B,E,C,,Spring 2024 ML,,,,
25,C,,C,D,D,,Spring 2024 ML,,,,
26,A,,A,A,C,,Spring 2024 ML,,,,
27,D,,C,B,C,,Spring 2024 ML,,,,
1,C,,A,B,D,,Fall 2023 ML,,,,
2,B,,D,D,A,,Fall 2023 ML,,,,
3,A,,C,E,B,,Fall 2023 ML,,,,
4,D,,C,D,D,,Fall 2023 ML,,,,
5,A,,A,D,A,,Fall 2023 ML,,,,
6,D,,B,D,D,,Fall 2023 ML,,,,
7,C,,C,D,B,,Fall 2023 ML,,,,
8,A,,A,A,D,,Fall 2023 ML,,,,
9,B,,D,D,C,,Fall 2023 ML,,,,
10,A,,A,A,A,,Fall 2023 ML,,,,
11,A,,A,A,A,,Fall 2023 ML,,,,
12,B,,B,C,A,,Fall 2023 ML,,,,
13,C,,C,C,C,,Fall 2023 ML,,,,
14,B,,B,C,D,,Fall 2023 ML,,,,
15,C,,B,D,D,,Fall 2023 ML,,,,
16,C,,A,A,D,,Fall 2023 ML,,,,
17,A,,C,C,C,,Fall 2023 ML,,,,
18,B,,C,B,C,,Fall 2023 ML,,,,
19,D,,D,C,D,,Fall 2023 ML,,,,
20,D,,A,D,B,,Fall 2023 ML,,,,
21,B,,B,B,C,,Fall 2023 ML,,,,
22,C,,B,B,A,,Fall 2023 ML,,,,
23,D,,D,D,C,,Fall 2023 ML,,,,
24,D,,A,C,D,,Fall 2023 ML,,,,
25,B,,B,B,B,,Fall 2023 ML,,,,
26,C,,D,D,D,,Fall 2023 ML,,,,
27,A,,A,D,C,,Fall 2023 ML,,,,
1,1,,1,1,1,,Spring 2024 ST,,,,
2,1,,1,1,1,,Spring 2024 ST,,,,
3,5,,5,5,5,,Spring 2024 ST,,,,
4,5,,5,5,5,,Spring 2024 ST,,,,
5,3,,3,3,2,,Spring 2024 ST,,,,
6,1,,1,1,2,,Spring 2024 ST,,,,
7,1,,E,1,1,,Spring 2024 ST,,,,
8,2,,2,2,3,,Spring 2024 ST,,,,
9,2,,2,4,4,,Spring 2024 ST,,,,
10,1,,1,1,1,,Spring 2024 ST,,,,
11,4,,4,4,4,,Spring 2024 ST,,,,
12,4,,4,4,5,,Spring 2024 ST,,,,
13,4,,3,4,3,,Spring 2024 ST,,,,
14,3,,3,3,3,,Spring 2024 ST,,,,
15,1,,1,1,1,,Spring 2024 ST,,,,
16,4,,4,4,4,,Spring 2024 ST,,,,
17,4,,5,4,5,,Spring 2024 ST,,,,
18,5,,5,2,5,,Spring 2024 ST,,,,
19,2,,2,2,2,,Spring 2024 ST,,,,
20,3,,3,5,2,,Spring 2024 ST,,,,
21,3,,3,3,3,,Spring 2024 ST,,,,
22,3,,3,3,3,,Spring 2024 ST,,,,
23,2,,2,3,3,,Spring 2024 ST,,,,
24,4,,4,4,3,,Spring 2024 ST,,,,
25,3,,3,3,3,,Spring 2024 ST,,,,
26,4,,2,4,2,,Spring 2024 ST,,,,
27,2,,2,4,2,,Spring 2024 ST,,,,
28,4,,4,5,5,,Spring 2024 ST,,,,
29,5,,4,3,4,,Spring 2024 ST,,,,
30,4,,3,4,3,,Spring 2024 ST,,,,
1,5,,5,1,3,,Fall 2023 ST,,,,
2,2,,2,2,2,,Fall 2023 ST,,,,
3,2,,2,3,2,,Fall 2023 ST,,,,
4,4,,3,5,E,,Fall 2023 ST,,,,
5,3,,3,3,3,,Fall 2023 ST,,,,
6,5,,1,4,1,,Fall 2023 ST,,,,
7,4,,4,4,4,,Fall 2023 ST,,,,
8,5,,5,5,4,,Fall 2023 ST,,,,
9,3,,3,2,3,,Fall 2023 ST,,,,
10,5,,5,5,5,,Fall 2023 ST,,,,
11,1,,1,1,1,,Fall 2023 ST,,,,
12,5,,5,E,5,,Fall 2023 ST,,,,
13,3,,4,2,3,,Fall 2023 ST,,,,
14,5,,5,5,5,,Fall 2023 ST,,,,
15,1,,3,5,1,,Fall 2023 ST,,,,
16,1,,1,1,1,,Fall 2023 ST,,,,
17,5,,5,4,2,,Fall 2023 ST,,,,
18,4,,4,4,4,,Fall 2023 ST,,,,
19,4,,5,5,5,,Fall 2023 ST,,,,
20,3,,3,3,2,,Fall 2023 ST,,,,
21,1,,1,1,2,,Fall 2023 ST,,,,
22,3,,3,3,3,,Fall 2023 ST,,,,
23,3,,3,4,3,,Fall 2023 ST,,,,
24,3,,3,3,5,,Fall 2023 ST,,,,
25,2,,2,2,4,,Fall 2023 ST,,,,
26,1,,1,1,1,,Fall 2023 ST,,,,
27,2,,2,2,2,,Fall 2023 ST,,,,
28,4,,4,4,1,,Fall 2023 ST,,,,
29,1,,1,1,1,,Fall 2023 ST,,,,
30,5,,5,5,5,,Fall 2023 ST,,,,
1,3,,2,3,4,,Spring 2023 ST,,,,
2,3,,3,3,3,,Spring 2023 ST,,,,
3,2,,2,2,2,,Spring 2023 ST,,,,
4,2,,2,2,2,,Spring 2023 ST,,,,
5,3,,3,3,3,,Spring 2023 ST,,,,
6,4,,4,4,4,,Spring 2023 ST,,,,
7,5,,5,5,5,,Spring 2023 ST,,,,
8,3,,3,3,3,,Spring 2023 ST,,,,
9,1,,2,1,1,,Spring 2023 ST,,,,
10,3,,5,3,2,,Spring 2023 ST,,,,
11,4,,4,1,4,,Spring 2023 ST,,,,
12,4,,4,4,4,,Spring 2023 ST,,,,
13,3,,3,3,3,,Spring 2023 ST,,,,
14,2,,2,2,2,,Spring 2023 ST,,,,
15,1,,1,5,4,,Spring 2023 ST,,,,
16,5,,5,5,5,,Spring 2023 ST,,,,
17,1,,1,1,1,,Spring 2023 ST,,,,
18,5,,5,5,5,,Spring 2023 ST,,,,
19,4,,4,4,4,,Spring 2023 ST,,,,
20,4,,4,4,4,,Spring 2023 ST,,,,
21,4,,4,4,3,,Spring 2023 ST,,,,
22,5,,5,5,4,,Spring 2023 ST,,,,
23,5,,5,5,5,,Spring 2023 ST,,,,
24,2,,2,2,2,,Spring 2023 ST,,,,
25,2,,2,2,2,,Spring 2023 ST,,,,
26,2,,2,2,2,,Spring 2023 ST,,,,
27,1,,2,2,2,,Spring 2023 ST,,,,
28,5,,1,5,3,,Spring 2023 ST,,,,
29,4,,4,4,4,,Spring 2023 ST,,,,
30,3,,3,3,3,,Spring 2023 ST,,,,
